IDN,CREATOR,TITLE,DATE,PUBLISHER,URN,ISBN,TYPE
1061058093,N/A,Die Welt im Kalten Krieg : Internationale Beziehungen 1945-1989 / Franz Knipping,2037,Paderborn : Schöningh Paderborn,N/A,"978-3-506-73729-8 Leinen. : ca. EUR 80.00 (DE), ca. EUR 82.30 (AT), ca. sfr 103.00 (freier Pr.)",N/A
1310858659,"Fender, Dennis [Verfasser]","Découvertes - AUT AH 4 : Découvertes 4. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung / Florian Guy, Dennis Fender, Christiane Freers-Jung, Tiana Lichte, Christiane Neveling [und weitere]",2028,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13501-8 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
1310858675,N/A,"Begegnungen m. d. Natur OS MT : Begegnungen mit der Natur, Maturatraining / Christine Eva Biegl",2027,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13473-8 : EUR 15.70 (DE), EUR 15.70 (AT)",N/A
1310863806,"Fender, Dennis [Verfasser]","Découvertes - AUT AH 3 : Découvertes 3. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung / Florian Guy, Dennis Fender, Christiane Freers-Jung, Tiana Lichte, Christiane Neveling [und weitere]",2027,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13500-1 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
1310866783,N/A,"Découvertes 2. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung",2026,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13499-8 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
1154398811,"Pfeiffer, Jalda [Verfasser]","Südost-Frankreich per Rad : Provence - Alpen - Côte d'Azur / Stefan Pfeiffer, Jalda Pfeiffer",2026,"Neuenhagen b Berlin : Kettler, W",N/A,"978-3-932546-54-9 : EUR 15.90 (DE), EUR 16.40 (AT)",N/A
1323856676,"Vital, Bettina [Herausgeber]",Antologia d'amur,2025,Chur : Chasa Editura Rumantscha,N/A,"978-3-03845-092-4 : EUR 28.00 (DE), EUR 28.80 (AT), CHF 28.00 (freier Preis)",N/A
1331485363,N/A,Chaconne - aus der Violinpartita Nr. 2 d-moll BWV 1004 = Chaconne - from violin partita no. 2 D minor BWV 1004 / Johann Seb. Bach ; transkribiert für Gitarre solo von Tilman Hoppstock,2025,Darmstadt : Prim Musikverlag,N/A,N/A,N/A
1310867100,"Freers-Jung, Christiane [Verfasser]","Découvertes 1. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung / Florian Guy, Christiane Freers-Jung, Michael Pfau, Christiane Neveling",2025,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-13498-1 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
131086747X,"Fender, Dennis [Verfasser]","Découvertes 4. Version Autriche. Cahier d'activités, Arbeitsheft mit Mediensammlung / Florian Guy, Dennis Fender, Christiane Freers-Jung, Tiana Lichte, Christiane Neveling [und weitere]",2025,"Wien : öbv, Firmensitz Wien",N/A,"978-3-209-11645-1 : EUR 9.50 (DE), EUR 9.50 (AT)",N/A
999979213,"Lutz, Paul","[Du Loup en France - Des Loups Anthropophages] ; Der Wolf in Frankreich - Menschenfressende Wölfe. Du Loup en France - Des Loups antropophages : Die Kampagne von Ferdinand Comte d' Esterno im ""Journal de l' agriculture"" (1876) zur Ausrottung des Wolfes in Frankreich / Ferdinand Charles Philippe de Esterno, Narcisse Seppey",2025,München : Bengelmann,N/A,978-3-930177-17-2 PB. : EUR 18.80,N/A
1334647054,"Courtois, David [Verfasser]","[Guerres d'Arran 4] ; Die Kriege von Arran. Band 4 : Der Kampf der Stadtstaaten / Nicolas Jarry, David Courtois",2025,Bielefeld : Splitter-Verlag,N/A,"978-3-98721-240-6 : EUR 18.00 (DE), EUR 18.50 (AT)",N/A
