Bestellnr,Autor/ Herausgeber,Titel,Verlag,Einband,Format,Gewicht in g,Auflage,Jahr,,Ort,Zustand (1-4),Sprachennr.,Sprache,ISBN,EAN,Seitenzahl/Umfang,Ihr Preis in €,zvab-Preis,Zustand-zvab,Illustrator,Übersetzer,Vor- oder Nachwort,Nachwort,weitere Mitwirkende,Untertitel,Originaltitel,aus der Reihe,Band,Schlagworte,Beschreibung,Zustandsbeschreibung,Lieferungsnr,Lieferant,Einkaufspreis in €,Aufgenommen am:,Menge,3860400644,Zustand-amazon,Standort,Kommission,Sparten-Nr.,Spartenbezeichnung,Einkaufsdatum,MwSt.,ebay,Notizen,Bild,alte Bestellnummer,ASIN,versandkennziffer,Höhe,Breite,Tiefe,Suche,ebay-ID,Titel-Autor-anzahl
212920,,,,,,,,,0,,,33,Estnisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
627930,,,,,,,,,0,,,32,Finnisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
734260,,,,,,,,,0,,,31,Lettisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
759980,,,,,,,,,0,,,30,Lateinisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
762610,,,,,,,,,0,,,29,Bulgarisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
802630,,,,,,,,,0,,,28,Türkisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
826890,,,,,,,,,0,,,27,Norwegisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
829390,,,,,,,,,0,,,26,Chinesisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
896970,,,,,,,,,0,,,25,Katalanisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
909450,,,,,,,,,0,,,24,Koreanisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
910720,,,,,,,,,0,,,23,Färöisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
919533,,,,,,,,,0,,,22,Kroatisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
920407,,,,,,,,,0,,,21,Schwedisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
920765,,,,,,,,,0,,,20,Serbisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
920927,,,,,,,,,0,,,19,Hebräisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
961064,,,,,,,,,0,,,18,Lateinisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
961450,,,,,,,,,0,,,17,Griechisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
970027,,,,,,,,,0,,,16,Lettisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
972300,,,,,,,,,0,,,15,Dänisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
982689,,,,,,,,,0,,,14,Italienisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
984983,,,,,,,,,0,,,13,Niederländisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
991072,,,,,,,,,0,,,12,Polnisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
991494,,,,,,,,,0,,,11,Portugiesisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
993867,,,,,,,,,0,,,10,Spanisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
995754,,,,,,,,,0,,,9,Russisch,,,,,,,,,,,,,,,,,,,,gefunden/geschenkt,0,,1,,,,,,#NV,,7,,,Sedez,,,0,,,,,,
